TIEMPO,VOLTAJE
0,2.378911
0.001,2.388579
0.002,2.386967
0.003,2.388579
0.004,2.395024
0.005,2.386162
0.006000001,2.394218
0.007,2.381327
0.008000001,2.387773
0.009,2.38455
0.01,2.217725
0.011,2.215308
0.012,2.222559
0.013,2.21853
0.014,2.220142
0.015,2.213696
0.016,2.233033
0.017,2.204834
0.018,2.231421
0.019,2.234644
0.02,2.208862
0.021,2.208862
0.022,2.195971
0.023,2.228199
0.024,2.234644
0.025,2.209668
0.026,2.233838
0.027,2.22417
0.028,2.220948
0.029,2.228199
0.03,2.211279
0.031,2.217725
0.032,2.212891
0.033,2.237061
0.034,2.213696
0.035,2.233838
0.03599999,2.227393
0.03699999,2.217725
0.03799999,2.226587
0.03899999,2.219336
0.03999999,2.220142
0.04099998,2.229004
0.04199998,2.299149
0.04299998,2.229004
0.04399998,2.238672
0.04499998,2.237867
0.04599998,2.232227
0.04699997,2.220142
0.04799997,2.237061
0.04899997,2.357963
0.04999997,2.245924
0.05099997,2.239478
0.05199997,2.242701
0.05299997,2.248341
0.05399997,2.233838
0.05499996,2.256397
0.05599996,2.260426
0.05699996,2.346684
0.05799995,2.258009
0.05899996,2.29512
0.05999995,2.257203
0.06099996,2.254786
0.06199995,2.268482
0.06299995,2.267677
0.06399995,2.316068
0.06499995,2.275784
0.06599996,2.271755
0.06699996,2.366825
0.06799996,2.266065
0.06899996,2.244312
0.06999996,2.41436
0.07099997,2.290286
0.07199997,2.299149
0.07299996,2.420806
0.07399997,2.278201
0.07499998,2.290286
0.07599998,2.315262
0.07699997,2.284646
0.07799998,2.283841
0.07899999,2.291897
0.07999998,2.296731
0.08099998,2.424834
0.08199999,2.293509
0.08299999,2.295926
0.084,2.299149
0.08499999,2.341044
0.08599999,2.43853
0.087,2.322513
0.088,2.323319
0.089,2.320902
0.09,2.366825
0.091,2.405498
0.09200001,2.499007
0.09300001,2.3491
0.09400002,2.424028
0.09500002,2.392607
0.09600001,2.424028
0.09700002,2.457061
0.09800002,2.495784
0.09900002,2.560238
0.1,2.541708
0.101,2.432085
0.102,2.453838
0.103,2.458672
0.104,2.267677
0.105,2.48531
0.106,2.525594
0.107,2.530428
0.108,2.560238
0.109,2.584408
0.11,2.594076
0.111,2.594076
0.112,2.651279
0.113,2.656113
0.1140001,2.659336
0.1150001,2.684362
0.1160001,2.573129
0.1170001,2.644028
0.1180001,2.589242
0.1190001,2.590048
0.1200001,2.656113
0.1210001,2.686779
0.1220001,2.647251
0.1230001,2.709338
0.1240001,2.715784
0.1250001,2.709338
0.1260001,2.715784
0.1270001,2.701282
0.1280001,2.707727
0.1290001,2.688391
0.1300001,2.698865
0.1310001,2.708533
0.1320001,2.702087
0.1330001,2.709338
0.1340001,2.698865
0.1350001,2.716589
0.1360001,2.716589
0.1370001,2.731092
0.1380001,2.744788
0.1390001,2.74076
0.1400001,2.772987
0.1410001,2.725452
0.1420001,2.77621
0.1430001,2.768959
0.1440001,2.764124
0.1450001,2.775404
0.1460001,2.777015
0.1470001,2.779432
0.1480001,2.785072
0.1490001,2.775404
0.1500001,2.799574
0.1510001,2.80602
0.1520001,2.80602
0.1530001,2.811659
0.1540001,2.818105
0.1550001,2.818105
0.1560001,2.820522
0.1570001,2.825356
0.1580001,2.822939
0.1590001,2.834218
0.1600001,2.834218
0.1610001,2.836635
0.1620002,2.843081
0.1630002,2.846303
0.1640002,2.850332
0.1650002,2.828578
0.1660002,2.851943
0.1670002,2.85436
0.1680002,2.859194
0.1690002,2.870474
0.1700002,2.861611
0.1710002,2.855972
0.1720002,2.883364
0.1730002,2.877725
0.1740002,2.884976
0.1750002,2.86564
0.1760002,2.885781
0.1770002,2.887393
0.1780002,2.875308
0.1790002,2.887393
0.1800002,2.887393
0.1810002,2.90114
0.1820002,2.905168
0.1830002,2.892277
0.1840002,2.901945
0.1850002,2.902751
0.1860002,2.914031
0.1870002,2.914031
0.1880002,2.913225
0.1890002,2.914836
0.1900002,2.897917
0.1910002,2.931756
0.1920002,2.931756
0.1930002,2.908391
0.1940002,2.937395
0.1950002,2.941424
0.1960002,2.944646
0.1970002,2.937395
